"﻿""Keyword""",SERP features,Volume,KD,CPC,servicesartisans.fr/: URL,servicesartisans.fr/: Organic Position,servicesartisans.fr/: Organic Traffic,servicesartisans.fr/: Ad title,servicesartisans.fr/: Ad display URL,servicesartisans.fr/: Ad description,servicesartisans.fr/: Ad block,servicesartisans.fr/: Ad position,servicesartisans.fr/: Paid traffic,pagesjaunes.fr/: URL,pagesjaunes.fr/: Organic Position,pagesjaunes.fr/: Organic Traffic,pagesjaunes.fr/: Ad title,pagesjaunes.fr/: Ad display URL,pagesjaunes.fr/: Ad description,pagesjaunes.fr/: Ad block,pagesjaunes.fr/: Ad position,pagesjaunes.fr/: Paid traffic,travaux.com/: URL,travaux.com/: Organic Position,travaux.com/: Organic Traffic,travaux.com/: Ad title,travaux.com/: Ad display URL,travaux.com/: Ad description,travaux.com/: Ad block,travaux.com/: Ad position,travaux.com/: Paid traffic,izi-by-edf.fr/: URL,izi-by-edf.fr/: Organic Position,izi-by-edf.fr/: Organic Traffic,izi-by-edf.fr/: Ad title,izi-by-edf.fr/: Ad display URL,izi-by-edf.fr/: Ad description,izi-by-edf.fr/: Ad block,izi-by-edf.fr/: Ad position,izi-by-edf.fr/: Paid traffic,Updated
bricoman,"Sitelinks, Local pack, Video preview, Thumbnail",199000,3,0.01,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/rhone-alpes/bricoman,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 03:35:25
mister auto,"Sitelinks, Knowledge panel, Video preview",196000,2,0.12,,,,,,,,,,https://www.pagesjaunes.fr/pros/56203120,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 16:57:56
achat or n°1 goldun,AI Overview,194000,0,,,,,,,,,,,https://www.pagesjaunes.fr/pros/63284307,2,28443,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 11:44:53
brico dépôt,"AI Overview, Thumbnail",181000,0,0.05,,,,,,,,,,https://www.pagesjaunes.fr/activites/brico-depot.html,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 23:37:54
colis privé,"Sitelinks, People also ask, Local pack, Video preview",179000,4,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/50290069,5,22,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 13:43:06
location voiture,"Local pack, Thumbnail, Video preview",177000,59,0.71,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/location-voiture,7,4067,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 15:52:49
bricodepot,"Sitelinks, Knowledge panel, Video preview",170000,5,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/55232504,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 20:38:05
pull and bear,"Sitelinks, Thumbnail, Shopping Ads, Knowledge panel, Video preview",168000,0,0.06,,,,,,,,,,https://www.pagesjaunes.fr/pros/57155217,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 21:38:40
pizza,"People also ask, Thumbnail, Video preview",167000,28,0.25,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/pizza,9,2372,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 20:56:57
pages jaunes,"Sitelinks, Video preview",162000,6,0.10,,,,,,,,,,https://www.pagesjaunes.fr/,1,159811,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 11:21:52
bricorama,,161000,0,0.16,,,,,,,,,,https://www.pagesjaunes.fr/pros/63076669,5,9,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 00:54:58
cash piscine,"Top ads, Sitelinks, Knowledge panel, Bottom ads, Paid sitelinks, Video preview",156000,4,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/63490912,4,13,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 16:54:35
probtp,"Local pack, Video preview",152000,6,0.12,,,,,,,,,,https://www.pagesjaunes.fr/pros/55193649,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 10:46:22
matmut,"Sitelinks, Local pack, Video preview",148000,8,0.05,,,,,,,,,,https://www.pagesjaunes.fr/activites/matmut.html,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 15:07:28
micromania,"Sitelinks, Local pack, Video preview, Thumbnail",145000,3,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/53092537,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 19:06:05
gemo,"Sitelinks, Local pack, Video preview",141000,5,0.01,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/enseignes-populaires/gemo/2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 00:44:04
swisslife,"Sitelinks, People also ask, Local pack, Video preview",141000,7,1.14,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/ile-de-france/swisslife,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 23:41:53
mcdonald's,,138000,55,0.02,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/mc-donald-s,6,1,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 14:53:20
kebab,"People also ask, Thumbnail, Video preview",137000,0,0.10,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/restaurants-kebabs,8,1608,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 05:10:44
société générale,"Sitelinks, Local pack, People also ask, Video preview",137000,53,0.24,,,,,,,,,,https://www.pagesjaunes.fr/activites/societe-generale.html,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 01:08:36
sixt,"Sitelinks, Local pack, People also ask, Video preview",135000,0,0.55,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/bordeaux-33/sixt,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 23:23:52
annuaire inversé,"People also ask, Video preview",132000,26,0.13,,,,,,,,,,https://www.pagesjaunes.fr/annuaireinverse,1,135721,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 19:58:10
undiz,"Sitelinks, Local pack, Video preview",131000,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/54858634,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 02:48:10
carrefour market,"Local pack, Video preview",130000,6,0.19,,,,,,,,,,https://www.pagesjaunes.fr/activites/carrefour-market.html,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 01:26:31
casa,"Sitelinks, People also ask, Thumbnail",126000,15,0.08,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/bretagne/casa,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 00:53:52
page blanche,,123000,26,0.04,,,,,,,,,,https://www.pagesjaunes.fr/pagesblanches,1,127448,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 17:52:51
chaussea,"Sitelinks, Local pack, Video preview",118000,0,0.25,,,,,,,,,,https://www.pagesjaunes.fr/pros/63146867,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 09:12:12
boulangerie autour de moi,,116000,0,0.24,,,,,,,,,,https://www.pagesjaunes.fr/activites/boulangerie.html,2,5481,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 22:01:29
sushi,"People also ask, Thumbnail, Video preview",116000,46,0.26,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/sushi,8,1941,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 21:26:10
peopledoc,"Sitelinks, Video preview",114000,0,0.88,,,,,,,,,,https://www.pagesjaunes.fr/pros/52691262,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 18:59:23
ostéopathe,"Local pack, People also ask, Video preview, Thumbnail",113000,7,0.60,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/osteopathes,6,573,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 21:17:11
entrepot du bricolage,"Sitelinks, Local pack, Video preview",108000,0,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/09249901,8,245,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 04:56:23
dermatologue,"Local pack, People also ask, Thumbnail, Video preview",103000,12,0.44,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/medecins-dermatologues,4,4247,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 22:03:12
numéro de téléphone,"People also ask, Video preview",100000,28,0.20,,,,,,,,,,https://www.pagesjaunes.fr/annuaireinverse,1,37639,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:45:45
pages blanches particuliers gratuit,AI Overview,99000,14,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pagesblanches/r/prenom.nom,1,73240,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 06:27:13
supermarché,"People also ask, Video preview",96000,68,0.05,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/supermarches-hypermarches,2,3114,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 19:05:18
saur,"Sitelinks, People also ask, Local pack, Video preview",95000,5,0.54,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/ile-de-france/saur,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 04:15:29
caroll,"Sitelinks, People also ask, Video preview",94000,0,0.14,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/paris-75/caroll,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 03:07:40
zoomalia,"Sitelinks, Local pack, Video preview",94000,1,0.34,,,,,,,,,,https://www.pagesjaunes.fr/pros/54058005,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 16:05:40
annuaire,People also ask,94000,65,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pagesblanches,1,105204,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 19:43:57
motoblouz,"Sitelinks, People also ask, Video preview",90000,7,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/08669767,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 16:40:06
sostrene grene,"Sitelinks, Local pack, Thumbnail, Video preview",88000,22,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/59982743,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 02:26:43
suez,"Sitelinks, Local pack, People also ask, Top stories, Thumbnail, Video preview",88000,34,0.54,,,,,,,,,,https://www.pagesjaunes.fr/pros/56709533,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 18:35:29
kawasaki,"Sitelinks, Local pack, Thumbnail, Video preview",88000,0,0.10,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/ile-de-france/kawasaki,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 22:57:53
nathalie tapie,"People also ask, Sitelinks, Thumbnail, Video preview",88000,0,,,,,,,,,,,https://www.pagesjaunes.fr/pagesblanches/r/nathalie.tapie,8,2559,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 05:05:28
zara home,"Sitelinks, Local pack, Thumbnail, Video preview",88000,1,0.07,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/ile-de-france/zara-home,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 02:35:27
sanef,"Sitelinks, Video preview, Thumbnail",86000,2,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/53428751,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 00:43:13
monsieur bricolage,"Sitelinks, Local pack, Video preview",86000,2,0.09,,,,,,,,,,https://www.pagesjaunes.fr/pros/63860851,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 18:52:52
smith toys,"Sitelinks, Local pack, Video preview, Shopping, Thumbnail",85000,2,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/07246270,10,2623,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 20:50:39
devred,"Sitelinks, Local pack, People also ask, Thumbnail, Video preview",80000,1,0.13,,,,,,,,,,https://www.pagesjaunes.fr/activites/devred.html,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 02:36:41
bonobo,"Sitelinks, Shopping Ads, Thumbnail, Video preview",79000,24,0.04,,,,,,,,,,https://www.pagesjaunes.fr/activites/bonobo.html,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 20:35:09
galeries lafayette,"Sitelinks, Local pack, People also ask, Video preview",78000,12,0.12,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/ile-de-france/galeries-lafayette,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 04:27:56
lacentrale,Sitelinks,76000,4,0.26,,,,,,,,,,https://www.pagesjaunes.fr/pros/59085928,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 00:40:58
cerballiance,"Sitelinks, Local pack, Top stories, Thumbnail, Video preview",76000,4,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/61138235,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 09:06:47
tabac ouvert,,75000,0,,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/yonne-89/bureau-de-tabac-ouvert-maintenant,3,2348,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 04:40:52
credit agricole centre est,,75000,29,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/06242686,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 15:08:18
footlocker,"Sitelinks, Local pack, Video preview",72000,1,0.10,,,,,,,,,,https://www.pagesjaunes.fr/activites/foot-locker.html,5,9,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 06:04:21
auchan drive,"Sitelinks, Local pack, Video preview",72000,22,0.21,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/provence-alpes-cote-d-azur/auchan-drive,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 17:28:14
l'entrepôt du bricolage,"Sitelinks, Local pack, Thumbnail, Video preview",71000,0,0.01,,,,,,,,,,https://www.pagesjaunes.fr/pros/51292510,7,1304,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-11 18:37:09
pizzeria,"Video preview, Thumbnail",71000,5,0.21,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/pizza,3,1659,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 23:54:11
linvosges,"Sitelinks, Local pack, People also ask, Video preview",71000,0,0.04,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/ile-de-france/linvosges,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 06:42:43
veterinaire,"Local pack, Thumbnail, Video preview",70000,11,0.47,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/veterinaires,3,3078,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 20:28:08
boulangerie à proximité,"People also ask, Video preview",69000,0,0.20,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/boulangerie,1,4616,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 08:49:03
tabac autour de moi,"Thumbnail, Video preview",68000,49,,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/bureaux-de-tabacs,1,4933,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 03:32:27
hanneton,"People also ask, Knowledge panel, Thumbnail, Video preview",67000,2,0.06,,,,,,,,,,https://jardinage.pagesjaunes.fr/astuce/voir/635985/hanneton,5,159,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 03:20:30
franck provost,"Sitelinks, People also ask, Local pack, Video preview, Thumbnail",67000,12,0.06,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/paris-75/franck-provost,9,2,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 09:56:50
charente libre,"Sitelinks, Video preview",66000,2,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/55795850,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 14:55:49
ubaldi,"People also ask, Video preview",65000,9,0.06,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/provence-alpes-cote-d-azur/ubaldi,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 03:24:20
abeille assurance,"Sitelinks, Local pack, People also ask, Video preview",65000,0,0.06,,,,,,,,,,https://www.pagesjaunes.fr/pros/52437622,10,1095,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 11:50:47
comptable vtc bvtc,"People also ask, Video preview",65000,0,2.54,,,,,,,,,,https://www.pagesjaunes.fr/pros/56737229,7,3113,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 09:17:53
bruneau,"Sitelinks, Local pack",63000,1,0.59,,,,,,,,,,https://www.pagesjaunes.fr/pros/00735747,7,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 17:05:39
fast food,"Thumbnail, Video preview",63000,3,0.14,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/fast-food-ouvert-maintenant,2,3667,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 20:07:07
engie home service,"Sitelinks, Local pack, People also ask, Video preview",61000,0,0.32,,,,,,,,,,https://www.pagesjaunes.fr/pros/00751128,9,0,,,,,,,,,,,,,,,,https://izi-by-edf.fr/,43,0,,,,,,,2026-04-17 02:57:11
salle de sport,"Local pack, People also ask, Video preview, Thumbnail",61000,37,0.86,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/salle-de-sport,2,19092,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 03:37:12
mondial relay autour de moi,"People also ask, Knowledge panel, Sitelinks",61000,4,0.07,,,,,,,,,,https://www.pagesjaunes.fr/activites/mondial-relay.html,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 19:44:36
sergent major,"Sitelinks, Local pack, People also ask, Video preview",59000,0,0.08,,,,,,,,,,https://www.pagesjaunes.fr/pros/00814989,6,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 17:45:15
rent a car,"Top ads, Sitelinks, Knowledge panel, People also ask, Bottom ads, Paid sitelinks, Thumbnail, Video preview",59000,54,0.45,,,,,,,,,,https://www.pagesjaunes.fr/pros/08139246,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-18 01:13:24
ter grand est,"Sitelinks, Video preview",58000,4,0.13,,,,,,,,,,https://www.pagesjaunes.fr/pros/51925762,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 14:12:30
garage,"Local pack, People also ask, Video preview",58000,1,0.16,,,,,,,,,,https://www.pagesjaunes.fr/pros/57114145,9,6,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 00:54:59
epicerie,Thumbnail,57000,11,0.13,,,,,,,,,,https://www.pagesjaunes.fr/activites/epicerie.html,8,19,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 13:53:12
endocrinologue,"Featured snippet, People also ask, Local pack, Video preview",57000,2,0.32,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/medecins-endocrinologie-diabete-maladies-metaboliques,5,1455,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 03:19:10
pharmacie de garde aujourd'hui,"People also ask, Local pack",57000,49,0.14,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/departement/creuse-23/pharmacie-de-garde,6,2163,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16 18:55:05
page jaune,,56000,0,0.10,,,,,,,,,,https://www.pagesjaunes.fr/,1,55965,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:05:16
sport 2000,,55000,0,0.45,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/region/dom/sport-2000,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 00:41:45
h et m,,55000,0,0.30,,,,,,,,,,https://www.pagesjaunes.fr/annuaire/paris-75/h-et-m,4,21,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 09:52:54
radio salam,"Knowledge panel, Video preview",54000,0,0.02,,,,,,,,,,https://www.pagesjaunes.fr/pros/06506811,10,20,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14 02:49:12
velopressecollection,"Sitelinks, Video preview",54000,0,0.05,,,,,,,,,,https://www.pagesjaunes.fr/pros/57252799,5,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13 15:11:42
agritel,"Sitelinks, Video preview",54000,0,0.12,,,,,,,,,,https://www.pagesjaunes.fr/pros/51861825,10,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 17:52:00
belles demeures,"Sitelinks, Video preview",54000,5,0.14,,,,,,,,,,https://www.pagesjaunes.fr/pros/08701205,9,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-12 19:40:05
