"﻿""Keyword""",Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
serrurier sevran,FR,France,French,Sevran (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail",350,0,7.33,,1,,,,20,New,,,,https://servicesartisans.fr/urgence/serrurier/sevran,,2026-04-17 18:45:56
ascenseur belleville en beaujolais,FR,France,French,Belleville-en-Beaujolais (Location),false,true,false,true,false,false,"Thumbnail, People also ask, Sitelinks",10,0,,,1,,,,2,New,,,,https://servicesartisans.fr/avis/ascensoriste/belleville-en-beaujolais,,2026-04-01 00:57:39
peintre qualifie bordeaux,FR,France,French,Bordeaux (Location),false,true,false,true,true,false,"People also ask, Video preview",10,0,1.27,,1,,,,4,New,,,,https://servicesartisans.fr/services/peintre-en-batiment/bordeaux,,2026-04-01 04:09:02
ascenseur cosne sur loire,FR,France,French,Cosne-sur-Loire (Location),false,true,false,true,false,false,People also ask,20,0,,,1,,,,6,New,,,,https://servicesartisans.fr/urgence/ascensoriste/cosne-cours-sur-loire,,2026-03-29 18:47:29
papier peint chalons en champagne,FR,France,French,Châlons-en-Champagne (Location),false,true,false,true,true,false,,30,0,,,1,,,,9,New,,,,https://servicesartisans.fr/tarifs/peintre-en-batiment/chalons-en-champagne/pose-de-papier-peint,,2026-03-23 14:30:02
carreleur pontivy,FR,France,French,Pontivy (Location),false,true,false,true,true,false,"Local pack, People also ask",40,1,0.42,,1,,,,12,New,,,,https://servicesartisans.fr/services/carreleur/pontivy,,2026-04-01 18:51:11
prix carrelage m2,FR,France,French,,false,false,false,true,true,false,"Featured snippet, People also ask, Shopping, Thumbnail, Video preview",2200,3,0.07,,1,,,,17,New,,,,https://servicesartisans.fr/questions/prix-pose-carrelage-m2,,2026-04-11 22:51:24
cuisiniste quimper avis,FR,France,French,Quimper (Location),false,true,false,true,true,false,"People also ask, Sitelinks",30,0,1.22,,1,,,,9,New,,,,https://servicesartisans.fr/avis/cuisiniste/quimper,,2026-04-01 19:22:46
vitrier gien,FR,France,French,Gien (Location),false,true,false,true,true,false,"People also ask, Knowledge panel",60,0,0.97,,1,,,,12,New,,,,https://servicesartisans.fr/services/vitrier/gien,,2026-04-09 14:32:02
prix pose cheneau zinc,FR,France,French,,false,false,false,true,false,false,People also ask,10,0,0.48,,1,,,,5,New,,,,https://servicesartisans.fr/tarifs/zingueur/puteaux/pose-de-gouttieres-en-zinc,,2026-03-25 05:43:56
vitrier montereau fault yonne,FR,France,French,Montereau-Fault-Yonne (Location),false,true,false,true,true,true,"Local pack, People also ask",30,0,1.16,,1,,,,10,New,,,,https://servicesartisans.fr/services/vitrier/montereau-fault-yonne,,2026-04-10 16:50:43
faire un double de clé lyon prix,FR,France,French,Lyon (Location),false,true,false,true,false,false,"Featured snippet, People also ask, Knowledge panel, Sitelinks",20,0,0.69,,1,,,,8,New,,,,https://servicesartisans.fr/tarifs/serrurier/lyon/copie-de-cle-standard-ou-haute-securite,,2026-03-20 12:28:28
vitrier osny,FR,France,French,Osny (Location),false,true,false,true,true,false,People also ask,40,0,,,1,,,,10,New,,,,https://servicesartisans.fr/avis/vitrier/osny,,2026-03-21 09:08:28
vitrier voisins le bretonneux,FR,France,French,Voisins-le-Bretonneux (Location),false,true,false,true,true,false,"Local pack, Thumbnail",30,0,,1,1,0,,11,11,,,https://servicesartisans.fr/avis/vitrier/voisins-le-bretonneux,,https://servicesartisans.fr/avis/vitrier/voisins-le-bretonneux,2026-03-16 19:52:20,2026-03-16 19:52:20
prix remplacement interrupteur,FR,France,French,,false,false,false,true,false,false,"People also ask, Sitelinks",40,0,0.34,,1,,,,10,New,,,,https://servicesartisans.fr/tarifs/electricien/tourcoing/remplacement-d-un-interrupteur-differentiel,,2026-03-20 08:31:28
europa service,FR,France,French,Europa Services (Organization),true,false,false,true,false,false,,40,0,,1,,,,10,,Lost,,https://servicesartisans.fr/services/platrier/clichy/europa-services-977498005,,,2026-03-06 11:32:17,
tarif plombier dunkerque,FR,France,French,Dunkirk (Location),false,true,false,true,false,false,"Featured snippet, People also ask, Sitelinks",10,0,0.50,,1,,,,4,New,,,,https://servicesartisans.fr/tarifs/plombier/dunkerque,,2026-04-07 13:05:31
serrurier le mans tarif,FR,France,French,Le Mans (Location),false,true,false,true,false,false,"Featured snippet, People also ask, Sitelinks",30,0,0.48,,1,,,,9,New,,,,https://servicesartisans.fr/tarifs/serrurier/le-mans/copie-de-cle-standard-ou-haute-securite,,2026-04-02 14:49:54
plombier dijon tarif,FR,France,French,Dijon (Location),false,true,false,true,false,false,"People also ask, Local pack",40,0,1.28,,1,,,,12,New,,,,https://servicesartisans.fr/tarifs/plombier/dijon/renovation-complete-plomberie-salle-de-bain-alimentation-evacuation,,2026-03-23 02:42:16
artisans de france,FR,France,French,Artisans de France (Organization),true,false,false,true,false,false,"Local pack, People also ask, Thumbnail",50,12,1.30,1,1,0,,12,12,,,https://servicesartisans.fr/,,https://servicesartisans.fr/,2026-03-16 05:36:57,2026-03-16 05:36:57
prix platrier,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask",20,0,0.49,1,,,,10,,Lost,,https://servicesartisans.fr/tarifs/platrier,,,2026-02-28 09:13:02,
tarif pose parquet pvc,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks",30,0,0.42,,1,,,,9,New,,,,https://servicesartisans.fr/tarifs/solier/saint-pierre/pose-de-sol-pvc-vinyle-en-lames-ou-dalles,,2026-03-19 04:45:02
ascenseur doubs,FR,France,French,Doubs (Location),false,true,false,true,false,false,"Featured snippet, Sitelinks",20,0,,,1,,,,8,New,,,,https://servicesartisans.fr/departements/doubs/ascensoriste,,2026-04-13 17:03:02
plombier magny le hongre,FR,France,French,Magny le Hongre (Location),false,true,false,true,true,true,"People also ask, Knowledge panel",50,0,6.64,,1,,,,12,New,,,,https://servicesartisans.fr/avis/plombier/magny-le-hongre,,2026-04-10 17:43:53
serrurier annecy tarif,FR,France,French,Annecy (Location),false,true,false,true,false,false,"Featured snippet, People also ask, Knowledge panel",50,0,1.45,,1,,,,12,New,,,,https://servicesartisans.fr/tarifs/serrurier/annecy/copie-de-cle-standard-ou-haute-securite,,2026-03-31 18:34:53
vitrier montceau les mines,FR,France,French,Montceau-les-Mines (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask",40,0,0.99,,1,,,,12,New,,,,https://servicesartisans.fr/services/vitrier/montceau-les-mines/suZIEsxpmGCS-4Aq,,2026-04-16 04:45:52
demenageur yvelines avis,FR,France,French,Yvelines (Location),false,true,false,true,false,false,People also ask,0,0,1.69,,1,,,,1,New,,,,https://servicesartisans.fr/avis/demenageur/meulan-en-yvelines,,2026-03-25 14:38:15
fenetres double vitrage,FR,France,French,,false,false,false,true,true,false,"Shopping, Thumbnail, People also ask, Video preview",600,0,0.96,,1,,,,23,New,,,,https://servicesartisans.fr/blog/guide-fenetre-double-vitrage,,2026-04-01 11:32:59
serrurier mormant,FR,France,French,Mormant (Location),false,true,false,true,false,false,People also ask,40,0,3.07,,1,,,,11,New,,,,https://servicesartisans.fr/avis/serrurier/mormant,,2026-03-22 09:22:39
pavis d'escurac,FR,France,French,Pavis D'Escurac (Organization),true,false,false,true,false,false,"Sitelinks, People also ask",40,0,,,1,,,,8,New,,,,https://servicesartisans.fr/services/architecte-interieur/cogolin/pavis-d-escurac-architecte-812115251,,2026-04-10 20:04:55
vitrier hendaye,FR,France,French,Hendaye (Location),false,true,false,true,true,false,"Local pack, People also ask",30,0,1.21,,1,,,,12,New,,,,https://servicesartisans.fr/services/vitrier/hendaye,,2026-04-11 02:27:32
menuisier urgence,FR,France,French,,false,false,false,true,false,true,"Local pack, People also ask",10,0,,,1,,,,8,New,,,,https://servicesartisans.fr/urgence/menuisier/douchy-les-mines,,2026-03-23 22:05:31
remplacement toilettes nimes,FR,France,French,Nîmes (Location),false,true,false,true,false,true,People also ask,30,0,,,1,,,,11,New,,,,https://servicesartisans.fr/tarifs/plombier/nimes/installation-d-un-wc,,2026-03-21 23:56:29
serrurier angers tarif,FR,France,French,Angers (Location),false,true,false,true,false,false,"Featured snippet, People also ask, Sitelinks, Local pack",30,0,0.51,,1,,,,12,New,,,,https://servicesartisans.fr/tarifs/serrurier/angers/copie-de-cle-standard-ou-haute-securite,,2026-03-23 10:33:42
ascenseur l'allier,FR,France,French,Allier (Location),false,true,false,true,false,false,People also ask,20,1,,1,,,,9,,Lost,,https://servicesartisans.fr/departements/allier/ascensoriste,,,2026-03-04 21:59:27,
plombier le chesnay,FR,France,French,Le Chesnay (Location),false,true,false,true,true,true,"Local pack, People also ask, Thumbnail",250,0,8.90,1,,,,24,,Lost,,https://servicesartisans.fr/services/plombier/velizy-villacoublay/le-chesnay-rocquencourt,,,2026-03-03 01:01:18,
prix pose cuisine,FR,France,French,,false,false,false,true,false,false,People also ask,700,0,0.62,,1,,,,28,New,,,,https://servicesartisans.fr/questions/prix-cuisine-equipee-pose,,2026-04-11 22:23:46
plombier neudorf,FR,France,French,Neudorf (Location),false,true,false,true,false,true,"Local pack, People also ask",30,0,4.73,1,,,,13,,Lost,,https://servicesartisans.fr/villes/strasbourg/neudorf,,,2026-03-05 07:20:52,
traitement capricorne charpente prix,FR,France,French,,false,false,false,true,false,false,"Featured snippet, People also ask, Sitelinks",30,0,1.08,,1,,,,11,New,,,,https://servicesartisans.fr/tarifs/charpentier/tarbes/traitement-charpente-par-injection-anti-termites-capricornes,,2026-03-28 22:28:32
demenagement tournan en brie,FR,France,French,Tournan-en-Brie (Location),false,true,false,true,true,false,"Top ads, Paid sitelinks, Local pack, Sitelinks, People also ask",20,0,,0,,,,12,,Lost,,https://servicesartisans.fr/devis/demenageur/tournan-en-brie/centre-ville,,,2026-03-04 22:33:28,
prix pose visiophone,FR,France,French,,false,false,false,true,false,false,"People also ask, Sitelinks",20,0,0.36,,0,,,,10,New,,,,https://servicesartisans.fr/tarifs/electricien/tours/installation-d-un-interphone-ou-visiophone,,2026-03-22 10:28:44
serrurier a fréjus,FR,France,French,Fréjus (Location),false,true,false,true,true,false,"Local pack, People also ask, Video preview",0,0,,,0,,,,3,New,,,,https://servicesartisans.fr/services/serrurier/frejus,,2026-03-27 05:20:38
couvreur wissous,FR,France,French,Wissous (Location),false,true,false,true,true,false,"People also ask, Knowledge panel",20,0,,,0,,,,11,New,,,,https://servicesartisans.fr/services/couvreur/wissous,,2026-04-11 07:46:47
vitrier clichy,US,United States,French,Clichy (Location),false,true,false,true,true,false,"Local pack, Sitelinks",10,0,,,0,,,,10,New,,,,https://servicesartisans.fr/services/vitrier/clichy,,2026-04-11 19:12:14
piscine vierzon tarif,FR,France,French,Vierzon (Location),false,true,false,true,false,false,"People also ask, Sitelinks, Knowledge panel",10,0,,,0,,,,10,New,,,,https://servicesartisans.fr/tarifs/pisciniste/vierzon/piscine-hors-sol-bois-ou-acier,,2026-03-29 16:29:28
membrane epdm mandelieu,FR,France,English,Mandelieu-la-Napoule (Location),false,true,false,true,false,false,,0,0,,,0,,,,1,New,,,,https://servicesartisans.fr/tarifs/etancheiste/mandelieu-la-napoule/etancheite-toiture-terrasse-membrane-epdm,,2026-04-14 20:22:03
intervention sur alarme paris,RU,Russian Federation,French,Paris (Location),false,true,false,true,false,false,"People also ask, Sitelinks, Video preview",0,0,,,0,,,,1,New,,,,https://servicesartisans.fr/urgence/alarme-securite/paris,,2026-03-24 13:08:27
deniel rance chauffage,FR,France,French,Deniel Rance Chauffage (Organization),true,false,false,true,false,false,,10,0,0.43,,0,,,,9,New,,,,https://servicesartisans.fr/services/plombier/caulnes/deniel-rance-chauffage-382326114,,2026-04-15 14:49:33
jb terrassement gannat,FR,France,French,"JB Terrassement (Organization), Gannat (Location)",true,true,false,true,false,false,Thumbnail,10,0,,,0,,,,9,New,,,,https://servicesartisans.fr/services/terrassier/gannat/jb-terrassement-518569298,,2026-04-18 02:15:37
agrafage vitrolles,FR,France,French,Vitrolles (Location),false,true,false,true,true,false,,10,0,,,0,,,,9,New,,,,https://servicesartisans.fr/tarifs/facadier/vitrolles/reprise-de-fissures-structurelles-avec-agrafage,,2026-04-14 22:57:29
serrurier fayence,FR,France,French,Fayence (Location),false,true,false,true,false,false,"Thumbnail, People also ask, Knowledge panel",20,0,2.59,,0,,,,12,New,,,,https://servicesartisans.fr/services/serrurier/fayence,,2026-04-10 18:00:15
installateur d'interphone,FR,France,French,,false,false,false,true,false,false,"People also ask, Knowledge panel",10,0,0.99,,0,,,,10,New,,,,https://servicesartisans.fr/tarifs/electricien/carcassonne/installation-d-un-interphone-ou-visiophone,,2026-04-13 08:37:50
membrane caoutchouc antibes,FR,France,French,Antibes (Location),false,true,false,true,true,false,Sitelinks,0,0,,,0,,,,5,New,,,,https://servicesartisans.fr/tarifs/etancheiste/antibes/etancheite-toiture-terrasse-membrane-bitume,,2026-03-28 14:13:27
salle de bain saint-andré-de-cubzac,FR,France,French,Saint-André-de-Cubzac (Location),false,true,false,true,true,false,"Thumbnail, People also ask",10,0,,0,,,,10,,Lost,,https://servicesartisans.fr/services/salle-de-bain/saint-andre-de-cubzac/centre-ville,,,2026-03-02 05:35:02,
rudolphe courty,FR,France,French,Rudolphe Courty (Person),false,false,false,true,false,false,,10,0,,,0,,,,7,New,,,,https://servicesartisans.fr/services/solier/louviers/rudolphe-courty-884176587,,2026-04-12 00:46:42
plombier pau tarif,FR,France,French,Pau (Location),false,true,false,true,false,false,"Featured snippet, People also ask, Knowledge panel, Sitelinks",20,0,0.43,,0,,,,12,New,,,,https://servicesartisans.fr/tarifs/plombier/pau/renovation-complete-plomberie-salle-de-bain-alimentation-evacuation,,2026-03-24 06:45:48
devis déménagement avrillé,US,United States,French,Avrillé (Location),false,true,false,true,true,true,"People also ask, Sitelinks",10,0,,,0,,,,9,New,,,,https://servicesartisans.fr/devis/demenageur/avrille/centre-ville,,2026-03-24 02:18:43
tarif entretien chaudière gaz saint-etienne,FR,France,French,Saint-Etienne (Location),false,true,false,true,true,false,"Featured snippet, People also ask, Local pack",10,0,0.72,,0,,,,7,New,,,,https://servicesartisans.fr/tarifs/chauffagiste/saint-etienne/entretien-annuel-de-chaudiere-gaz,,2026-03-19 06:03:02
tarif remplacement double vitrage nimes,FR,France,French,Nîmes (Location),false,true,false,true,true,false,"Featured snippet, People also ask, Sitelinks",0,0,,,0,,,,5,New,,,,https://servicesartisans.fr/tarifs/vitrier/nimes/remplacement-d-une-vitre-cassee-standard,,2026-03-20 17:47:30
gouttières zinc à antibes,US,United States,French,Antibes (Location),false,true,false,true,true,false,"People also ask, Shopping, Thumbnail",10,0,,,0,,,,9,New,,,,https://servicesartisans.fr/tarifs/zingueur/antibes/pose-de-gouttieres-en-zinc,,2026-04-17 15:49:27
fenetre double vitrage,FR,France,French,,false,false,false,true,true,true,"Shopping, Thumbnail, People also ask, Video preview",2000,2,0.96,,0,,,,29,New,,,,https://servicesartisans.fr/blog/guide-fenetre-double-vitrage,,2026-04-08 23:49:20
serrurier saint brieuc,FR,France,French,Saint-Brieuc (Location),false,true,false,true,true,false,"Thumbnail, People also ask, Knowledge panel",250,0,1.42,0,0,0,,26,26,,,https://servicesartisans.fr/services/serrurier/saint-brieuc,,https://servicesartisans.fr/services/serrurier/saint-brieuc,2026-03-05 17:17:28,2026-03-05 17:17:28
frelon agencement,FR,France,French,Frelon Agencement (Organization),true,false,false,true,false,false,,10,0,,0,,,,9,,Lost,,https://servicesartisans.fr/services/menuisier/larcay/frelon-agencement-326890431,,,2026-03-09 10:47:53,
serrurier tourcoing,FR,France,French,Tourcoing (Location),false,true,false,true,true,false,"Local pack, Thumbnail, People also ask",800,0,10.13,,0,,,,34,New,,,,https://servicesartisans.fr/avis/serrurier/tourcoing,,2026-04-10 14:30:32
coffre fort saint etienne,FR,France,French,Saint Etienne (Location),false,true,false,true,true,false,"Local pack, People also ask, Sitelinks",10,0,1.00,,0,,,,11,New,,,,https://servicesartisans.fr/tarifs/alarme-securite/saint-etienne/coffre-fort-encastre-pose-comprise,,2026-04-15 02:44:50
serrurerie des buclos,FR,France,French,Serrurerie Des Buclos (Organization),true,true,false,true,false,false,"Featured snippet, Thumbnail",10,0,0.58,,0,,,,9,New,,,,https://servicesartisans.fr/services/serrurier/meylan/serrurerie-des-buclos-068500438,,2026-04-09 21:57:32
serrurier nation,FR,France,French,Nation (Location),false,true,false,true,false,false,"Sitelinks, Knowledge panel, People also ask",10,0,1.34,,0,,,,9,New,,,,https://servicesartisans.fr/services/serrurier/paris/serrurerie-et-protection-nation-352495816,,2026-04-12 04:45:09
serrurier caen,FR,France,French,Caen (Location),false,true,false,true,true,false,"Local pack, People also ask, Thumbnail, Bottom ads",500,2,1.74,,0,,,,26,New,,,,https://servicesartisans.fr/urgence/serrurier/caen,,2026-04-13 05:59:04
taille de haie grasse,FR,France,French,Grasse (Location),false,true,false,true,false,false,People also ask,0,0,,,0,,,,9,New,,,,https://servicesartisans.fr/tarifs/jardinier/grasse/taille-de-haie,,2026-03-19 20:57:02
excellis clim,FR,France,French,Excellis Clim (Organization),true,false,false,true,false,false,,0,0,,,0,,,,9,New,,,,https://servicesartisans.fr/services/plombier/miramas/excellis-clim-913679205,,2026-03-22 07:30:45
terrassement maison seine-maritime,FR,France,French,Seine-Maritime (Location),false,true,false,true,true,false,"Local pack, People also ask",0,0,,,0,,,,3,New,,,,https://servicesartisans.fr/departements/seine-maritime/terrassier,,2026-04-04 08:09:40
pose de parquet massif la madeleine,FR,France,French,La Madeleine (Location),false,true,false,true,true,true,"People also ask, Sitelinks",0,0,,,0,,,,7,New,,,,https://servicesartisans.fr/tarifs/solier/la-madeleine/pose-de-parquet-massif-colle,,2026-03-26 07:12:17
installation plancher chauffant grasse,FR,France,French,Grasse (Location),false,true,false,true,true,false,People also ask,0,0,,,0,,,,4,New,,,,https://servicesartisans.fr/tarifs/chauffagiste/grasse/installation-d-un-plancher-chauffant,,2026-03-29 10:09:32
serrurier montargis,FR,France,French,Montargis (Location),false,true,false,true,false,false,"Thumbnail, People also ask, Knowledge panel",200,2,2.55,0,,,,28,,Lost,,https://servicesartisans.fr/services/serrurier/chalette-sur-loing/montargis,,,2026-03-06 16:36:55,
pose de parquet lormont,FR,France,French,Lormont (Location),false,true,false,true,true,true,"Local pack, People also ask",0,0,,0,,,,9,,Lost,,https://servicesartisans.fr/services/poseur-de-parquet/lormont/yvrac,,,2026-03-10 16:26:26,
